18:09:54.756: Date,Time,ChangeFlag,ACC X,ACC Y,ACC Z,IMU X_RATE,IMU Y_RATE,IMU Z_RATE,          IMU X_OFFSET,IMU Y_OFFSET,IMU Z_OFFSET,IMU ACC_X,IMU ACC_Y,IMU ACC_Z,MS5611 Temperature,MS5611 Pressure,GNSS Lat,GNSS Long,GNSS Alt,GNSS velocity,BME280 Pressure,BME280 Temperature,BME280 Humidity,
18:10:11.048: 0,0:0:0:3445,1,29,-777,36,1260,-3780,-630,-1063244125,0,1,969,-44,234,1847,99815,0,0,65344,8194,-1392510048,-1,0,
18:10:11.158: 0,0:0:0:3445,1,29,-924,36,840,-2030,-630,-1063244125,0,1,973,-38,248,1848,99830,0,0,65344,8194,-1392510048,-1,0,
18:10:11.269: 32,0:0:0:3445,1,29,-875,182,-70,-5530,3360,-1063239389,0,1,988,-7,194,1847,99803,0,0,65344,8194,-1392510048,-1,0,
18:10:11.484: 0,0:0:0:3445,1,-19,-924,182,17010,-4200,2450,-1063247196,0,1,1018,-130,229,1848,99807,0,0,65344,8194,-1392510048,-1,0,
18:10:11.591: 0,0:0:0:3445,1,-19,-924,85,1680,-6020,-630,-1063246094,0,1,994,-22,237,1848,99819,0,0,65344,8194,-1392510048,-1,0,
18:10:11.699: 8,0:0:0:3445,1,-166,-777,36,4340,-5110,-2380,-1063242741,0,1,960,60,262,1848,99819,0,0,65344,8194,-1392510048,-1,0,
18:10:11.914: 0,0:0:0:3445,1,-117,-924,134,840,-7350,5110,-1063242462,0,1,973,-20,248,1848,99807,0,0,65344,8194,-1392510048,-1,0,
18:10:12.025: 32,0:0:0:3445,1,-68,-924,134,4760,1540,-2380,-1063245814,0,1,978,59,171,1848,99812,0,0,65344,8194,-1392510048,-1,0,
18:10:12.135: 32,0:0:0:3445,1,-166,-875,36,350,-6440,1610,-1063244417,0,1,976,61,286,1848,99812,0,0,65344,8194,-1392510048,-1,0,
18:10:12.245: 32,0:0:0:3445,1,-19,-924,182,840,-4690,-1960,-1063244417,0,1,982,-51,241,1848,99823,0,0,65344,8194,-1392510048,-1,0,
18:10:12.458: 0,0:0:0:3445,1,78,-875,134,2590,-5110,-2380,-1063241344,0,1,1001,68,152,1848,99819,0,0,65344,8194,-1392510048,-1,0,
18:10:12.565: 0,0:0:0:3445,1,-19,-826,85,840,-6860,2030,-1063242462,0,1,997,-42,242,1848,99807,0,0,65344,8194,-1392510048,-1,0,
18:10:12.675: 8,0:0:0:3445,1,78,-924,182,3920,-1120,-1470,-1063245814,0,1,1004,-40,167,1848,99819,0,0,65344,8194,-1392510048,-1,0,
18:10:12.891: 0,0:0:0:3445,1,-68,-875,182,840,-2030,1120,-1063242462,0,1,1006,-2,267,1848,99819,0,0,65344,8194,-1392510048,-1,0,
18:10:12.999: 32,0:0:0:3445,1,-68,-826,134,3920,-8610,700,-1063242462,0,1,1000,-42,240,1848,99807,0,0,65344,8194,-1392510048,-1,0,
18:10:13.108: 0,0:0:0:3445,1,-19,-875,134,350,-2030,-3710,-1063245814,0,1,990,-60,258,1848,99830,0,0,65344,8194,-1392510048,-1,0,
18:10:13.321: 32,0:0:0:3445,1,-19,-875,-12,-14910,-4200,3780,-1063239389,0,1,984,-33,226,1847,99826,0,0,65344,8194,-1392510048,-1,0,
18:10:13.432: 8,0:0:0:3445,1,-19,-875,134,2100,-700,1610,-1063240774,0,1,1001,-16,170,1848,99796,0,0,65344,8194,-1392510048,-1,0,
18:10:13.541: 32,0:0:0:3445,1,-68,-875,182,5670,-6440,3780,-1063248608,0,1,993,-64,261,1847,99803,0,0,65344,8194,-1392510048,-1,0,
18:10:13.754: 8,0:0:0:3445,1,-19,-972,134,2100,-5110,2940,-1063247755,0,1,969,-28,237,1847,99803,0,0,65344,8194,-1392510048,-1,0,
18:10:13.866: 0,0:0:0:3445,1,-19,-875,-12,3920,-3360,4200,-1063247755,0,1,963,-37,183,1847,99803,0,0,65344,8194,-1392510048,-1,0,
18:10:13.978: 0,0:0:0:3445,1,-117,-826,134,4340,-5530,-210,-1063247755,0,1,961,48,190,1847,99803,0,0,65344,8194,-1392510048,-1,0,
18:10:14.190: 0,0:0:0:3445,1,-117,-924,134,3430,-5530,-630,-1063247755,0,1,980,-11,239,1846,99810,0,0,65344,8194,-1392510048,-1,0,
18:10:14.299: 0,0:0:0:3445,1,-19,-924,231,1260,-4690,-4130,-1063246345,0,1,976,-19,144,1846,99822,0,0,65344,8194,-1392510048,-1,0,
18:10:14.408: 0,0:0:0:3445,1,-19,-875,85,2590,-3360,1120,-1063242717,0,1,978,-108,279,1846,99810,0,0,65344,8194,-1392510048,-1,0,
18:10:14.519: 0,0:0:0:3445,1,-19,-924,182,2590,-4200,-2380,-1063246066,0,1,994,-29,200,1846,99810,0,0,65344,8194,-1392510048,-1,0,
18:10:14.733: 32,0:0:0:3445,1,-68,-875,85,1680,-2870,-210,-1063246066,0,1,999,-5,236,1847,99815,0,0,65344,8194,-1392510048,-1,0,
18:10:14.841: 0,0:0:0:3445,1,-68,-924,134,-70,-700,-2380,-1063244125,0,1,982,15,242,1847,99815,0,0,65344,8194,-1392510048,-1,0,
18:10:14.950: 0,0:0:0:3445,1,-68,-875,36,-12250,-1540,4690,-1063244125,0,1,986,-35,244,1847,99815,0,0,65344,8194,-1392510048,-1,0,
18:10:15.168: 0,0:0:0:3445,1,-19,-924,85,2100,-5110,-210,-1063244125,0,1,987,21,158,1847,99815,0,0,65344,8194,-1392510048,-1,0,
18:10:15.280: 0,0:0:0:3445,1,-19,-826,85,2100,-2870,-1050,-1063244125,0,1,997,-91,315,1848,99830,0,0,65344,8194,-1392510048,-1,0,
18:10:15.391: 0,0:0:0:3445,1,-19,-924,182,1680,-9520,1610,-1063239389,0,1,1046,-166,113,1847,99815,0,0,65344,8194,-1392510048,-1,0,
18:10:15.604: 0,0:0:0:3445,1,78,-777,85,350,-1120,280,-1063243846,0,1,1054,-92,221,1847,99826,0,0,65344,8194,-1392510048,-1,0,
18:10:15.713: 8,0:0:0:3445,1,-68,-875,85,5180,630,17780,-1063241054,0,1,1016,-9,257,1847,99780,0,0,65344,8194,-1392510048,-1,0,
